Nombre,Posicion,Duracion,Accion,Decision,Defensa,Oposicion,Protagonista,Resultado
Serbia,2508040,2720,Serbia,Correcta,BID,Deficiente,ANA,Conserva la posesión
Apoyo pivote falso,2581520,5480,Apoyo pivote falso,Correcta,GUA,Deficiente,ADE,Conserva la posesión
Apoyo pivote falso (2),2685040,6080,Apoyo pivote falso,Incorrecta,GUA,Óptima,ADE,Pierde la posesión
Apoyo pivote falso (3),921560,7960,Apoyo pivote falso,Incorrecta,HCA,Óptima,ATV,Pierde la posesión
Serbia (1),992720,7280,Serbia,Correcta,HCA,Deficiente,ATV,Gol
Serbia (2),1111480,6880,Serbia,Correcta,HCA,Deficiente,ATV,Conserva la posesión
Serbia (3),3507040,6200,Serbia,Correcta,HCA,Óptima,ATV,Conserva la posesión
Serbia (4),3766880,9320,Serbia,Correcta,HCA,Óptima,ATV,Pierde la posesión
Apoyo pivote falso (4),858960,7400,Apoyo pivote falso,Incorrecta,SIN,Deficiente,ADE,Pierde la posesión
Apoyo pivote falso (5),1302240,10200,Apoyo pivote falso,Correcta,SIN,Deficiente,ADE,Gol
Apoyo pivote falso (6),27080,6120,Apoyo pivote falso,Incorrecta,SIN,Óptima,ADE,Conserva la posesión
Apoyo pivote falso (7),114960,8680,Apoyo pivote falso,Incorrecta,SIN,Óptima,ADE,Conserva la posesión
Serbia (5),1667400,6440,Serbia,Correcta,CQN,Deficiente,ALC,Conserva la posesión
Serbia (6),1673000,5240,Serbia,Incorrecta,CQN,Deficiente,ALC,Gol
Serbia (7),2302840,24600,Serbia,Correcta,ALC,Deficiente,CQN,Conserva la posesión
Serbia (8),36920,7520,Serbia,Correcta,ALC,Deficiente,CQN,Pierde la posesión
Serbia (9),1557320,9280,Serbia,Incorrecta,GUA,Deficiente,ANA,Pierde la posesión
Apoyo pivote falso (8),570160,7920,Apoyo pivote falso,Incorrecta,GUA,Óptima,ANA,Conserva la posesión
Serbia (10),10880,5480,Serbia,Incorrecta,ALC,Deficiente,ATV,Pierde la posesión
Serbia (11),303960,6360,Serbia,Correcta,ALC,Deficiente,ATV,Gol
Apoyo pivote falso (9),346760,7320,Apoyo pivote falso,Correcta,HCA,Deficiente,BAR,Conserva la posesión
Serbia (12),1167680,7520,Serbia,Correcta,BAR,Óptima,HCA,Gol
Serbia (13),1279400,7000,Serbia,Correcta,BAR,Deficiente,HCA,Pierde la posesión
Serbia (14),1724240,5200,Serbia,Incorrecta,HCA,Deficiente,BAR,Gol
Apoyo pivote falso (10),1747520,6560,Apoyo pivote falso,Correcta,TEU,Óptima,BEN,Gol
Apoyo pivote falso (11),760920,6600,Apoyo pivote falso,Correcta,TEU,Óptima,BEN,Pierde la posesión
Apoyo pivote falso (12),842480,6320,Apoyo pivote falso,Correcta,TEU,Óptima,BEN,Pierde la posesión
Apoyo pivote falso (13),1114480,9240,Apoyo pivote falso,Incorrecta,TEU,Óptima,BEN,Pierde la posesión
Serbia (15),1063200,8000,Serbia,Incorrecta,LOG,Óptima,BID,Conserva la posesión
Serbia (16),1441640,7920,Serbia,Correcta,BID,Deficiente,LOG,Gol
Serbia (17),1692480,4680,Serbia,Incorrecta,LOG,Óptima,BID,Gol
Serbia (18),1464920,39960,Serbia,Incorrecta,CGN,Deficiente,PGE,Gol
Serbia (19),1811960,8360,Serbia,Correcta,CGN,Óptima,PGE,Conserva la posesión
Apoyo pivote falso (1),1608680,5840,Apoyo pivote falso,Incorrecta,GRA,Óptima,BEN,Pierde la posesión
Apoyo pivote falso (14),1995760,8800,Apoyo pivote falso,Correcta,LOG,Óptima,ANA,Pierde la posesión
Serbia (20),1372200,29760,Serbia,Correcta,ANA,Deficiente,LOG,Pierde la posesión
Serbia (21),502320,5360,Serbia,Incorrecta,GRA,Deficiente,SIN,Pierde la posesión
Apoyo pivote falso (15),892660,8760,Apoyo pivote falso,Correcta,GRA,Óptima,SIN,Gol
Serbia (22),1741040,7800,Serbia,Incorrecta,CGN,Deficiente,GRA,Conserva la posesión
Apoyo pivote falso (16),599720,7520,Apoyo pivote falso,Incorrecta,CGN,Deficiente,GRA,Pierde la posesión
Serbia (23),863480,6920,Serbia,Incorrecta,LOG,Óptima,GUA,Conserva la posesión
Serbia (24),1858000,7040,Serbia,Incorrecta,LOG,Óptima,GUA,Conserva la posesión
Serbia (25),1865880,8560,Serbia,Correcta,LOG,Deficiente,GUA,Conserva la posesión
Apoyo pivote falso (17),819400,7120,Apoyo pivote falso,Correcta,LOG,Óptima,GUA,Pierde la posesión
Apoyo pivote falso (18),1065360,8160,Apoyo pivote falso,Incorrecta,HCA,Deficiente,CQN,Pierde la posesión
Serbia (26),1150760,11200,Serbia,Correcta,HCA,Deficiente,CQN,Conserva la posesión
Serbia (27),1711840,6480,Serbia,Correcta,HCA,Deficiente,CQN,Pierde la posesión
Serbia (28),952260,9580,Serbia,Correcta,SIN,Óptima,ANA,Pierde la posesión
Apoyo pivote falso (19),1672340,8320,Apoyo pivote falso,Incorrecta,SIN,Deficiente,ANA,Gol
Apoyo pivote falso (20),1732600,40140,Apoyo pivote falso,Correcta,SIN,Deficiente,ANA,Gol
Apoyo pivote falso (21),1943380,8380,Apoyo pivote falso,Incorrecta,SIN,Óptima,ANA,Gol
Apoyo pivote falso (22),576160,8440,Apoyo pivote falso,Correcta,PGE,Deficiente,ATV,Gol
Serbia (29),1191440,14240,Serbia,Correcta,PGE,Óptima,ATV,Conserva la posesión
Serbia (30),165680,11040,Serbia,Incorrecta,ALC,Deficiente,BID,Conserva la posesión
Serbia (31),180520,6080,Serbia,Correcta,ALC,Óptima,BID,Gol
Serbia (32),1753000,10760,Serbia,Incorrecta,ALC,Óptima,BID,Conserva la posesión
Serbia (33),1760760,8400,Serbia,Correcta,ALC,Deficiente,BID,Gol
Apoyo pivote falso (23),256680,10720,Apoyo pivote falso,Incorrecta,TEU,Óptima,BAR,Conserva la posesión
Apoyo pivote falso (24),756160,9960,Apoyo pivote falso,Correcta,BEN,Óptima,ADE,Gol
Apoyo pivote falso (25),1542360,10840,Apoyo pivote falso,Incorrecta,BEN,Óptima,ADE,Pierde la posesión
Apoyo pivote falso (26),1571000,10280,Apoyo pivote falso,Correcta,ADE,Óptima,BEN,Conserva la posesión
Apoyo pivote falso (27),1622400,10240,Apoyo pivote falso,Incorrecta,BEN,Óptima,ADE,Conserva la posesión
Apoyo pivote falso (28),2058080,9640,Apoyo pivote falso,Incorrecta,ADE,Deficiente,BEN,Gol
Apoyo pivote falso (29),11600,7920,Apoyo pivote falso,Incorrecta,BEN,Óptima,ADE,Conserva la posesión
Apoyo pivote falso (30),35120,7720,Apoyo pivote falso,Correcta,BEN,Óptima,ADE,Gol
Apoyo pivote falso (31),86480,9600,Apoyo pivote falso,Correcta,BEN,Óptima,ADE,Gol
Apoyo pivote falso (32),2119600,8680,Apoyo pivote falso,Correcta,BEN,Deficiente,ADE,Conserva la posesión
Apoyo pivote falso (33),2138720,7920,Apoyo pivote falso,Incorrecta,BEN,Deficiente,ADE,Gol
Serbia (34),1101837,5569,Serbia,Correcta,TEU,Deficiente,ATV,Pierde la posesión
Apoyo pivote falso (34),1144610,9642,Apoyo pivote falso,Incorrecta,TEU,Deficiente,ATV,Pierde la posesión
Serbia (35),462840,6040,Serbia,Incorrecta,PGE,Óptima,CQN,Conserva la posesión
